,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-05-19,36690.09,92079.0,454.86,7782000.0,1754414000.0,0.0001,3378386797.1099997,1623972797.1099997,1623972797.1099997,1623972797.1099997,3539720520.0,0.7791722838253279,0.01183230531996916,False,False
2021-05-20,40526.64,92079.0,472.66,7782000.0,1754414000.0,0.0001,3731652484.56,1977238484.56,1977238484.56,1977238484.56,3678240120.0,0.6207332430995666,0.01183230531996916,False,False
2021-05-21,37252.01,92079.0,450.52,7782000.0,1754414000.0,0.0001,3430127828.79,1675713828.79,1675713828.79,1675713828.79,3505946640.0,0.7382213258240262,0.01183230531996916,False,False
2021-05-22,37449.73,92079.0,450.52,7782000.0,1754414000.0,0.0001,3448333688.67,1693919688.67,1693919688.67,1693919688.67,3505946640.0,0.7274153809394278,0.01183230531996916,False,False
2021-05-23,34655.25,92079.0,450.52,7782000.0,1754414000.0,0.0001,3191020764.75,1436606764.75,1436606764.75,1436606764.75,3505946640.0,0.8921766472510428,0.01183230531996916,False,False
2021-05-24,38796.29,92079.0,472.45,7782000.0,1754414000.0,0.0002,3572323586.91,1817909586.9099998,1817909586.9099998,1817909586.9099998,3676605900.0,0.7043027544629755,0.01183230531996916,False,False
2021-05-25,38324.72,92079.0,469.67,7782000.0,1754414000.0,0.0002,3528901892.88,1774487892.88,1774487892.88,1774487892.88,3654971940.0,0.7225765457711524,0.01183230531996916,False,False
2021-05-26,39241.91,92079.0,482.79,7782000.0,1754414000.0,0.0002,3613355830.8900003,1858941830.8900003,1858941830.8900003,1858941830.8900003,3757071780.0,0.7036324543669135,0.01183230531996916,False,False
2021-05-27,38529.98,92079.0,493.85,7782000.0,1754414000.0,0.0002,3547802028.42,1793388028.42,1793388028.42,1793388028.42,3843140700.0,0.7621833387749073,0.01183230531996916,False,False
2021-05-28,35663.49,92079.0,470.0,7782000.0,1754414000.0,0.0001,3283858495.71,1529444495.71,1529444495.71,1529444495.71,3657540000.0,0.8718861955069082,0.01183230531996916,False,False
2021-05-29,34605.15,92079.0,470.0,7782000.0,1754414000.0,0.0001,3186407606.85,1431993606.85,1431993606.85,1431993606.85,3657540000.0,0.9377231862460645,0.01183230531996916,False,False
2021-05-30,35641.27,92079.0,470.0,7782000.0,1754414000.0,0.0001,3281812500.33,1527398500.33,1527398500.33,1527398500.33,3657540000.0,0.8732248286576298,0.01183230531996916,False,False
2021-05-31,37253.81,92079.0,470.0,7782000.0,1754414000.0,0.0001,3430293570.99,1675879570.9899998,1675879570.9899998,1675879570.9899998,3657540000.0,0.7804526458240331,0.01183230531996916,False,False
2021-06-01,36693.09,92079.0,477.76,7782000.0,1754414000.0,0.0002,3378663034.1099997,1624249034.1099997,1624249034.1099997,1624249034.1099997,3717928320.0,0.8281210338210325,0.01183230531996916,False,False
2021-06-02,37568.68,92079.0,498.5,7782000.0,1754414000.0,0.0002,3459286485.72,1704872485.7199998,1704872485.7199998,1704872485.7199998,3879327000.0,0.8221713654774497,0.01183230531996916,False,False
2021-06-03,39246.79,92079.0,488.64,7782000.0,1754414000.0,0.0002,3613805176.41,1859391176.4099998,1859391176.4099998,1859391176.4099998,3802596480.0,0.7154350079784957,0.01183230531996916,False,False
2021-06-04,36829.0,92079.0,484.67,7782000.0,1754414000.0,0.0002,3391177491.0,1636763491.0,1636763491.0,1636763491.0,3771701940.0,0.834805531702086,0.01183230531996916,False,False
2021-06-05,35513.2,92079.0,484.67,7782000.0,1754414000.0,0.0002,3270019942.7999997,1515605942.7999997,1515605942.7999997,1515605942.7999997,3771701940.0,0.9117110213190422,0.01183230531996916,False,False
2021-06-06,35796.31,92079.0,484.67,7782000.0,1754414000.0,0.0002,3296088428.49,1541674428.4899998,1541674428.4899998,1541674428.4899998,3771701940.0,0.8946572255812006,0.01183230531996916,False,False
2021-06-07,33552.79,92079.0,469.81,7782000.0,1754414000.0,0.0002,3089507350.41,1335093350.4099998,1335093350.4099998,1335093350.4099998,3656061420.0,1.0073852384236754,0.01183230531996916,False,False
2021-06-08,33380.81,92079.0,459.38,7782000.0,1754414000.0,0.0002,3073671603.99,1319257603.9899998,1319257603.9899998,1319257603.9899998,3574895160.0,0.9968666926813914,0.01183230531996916,False,False
2021-06-09,37388.05,92079.0,512.99,7782000.0,1754414000.0,0.0003,3442654255.9500003,1688240255.9500003,1688240255.9500003,1688240255.9500003,3992088180.0,0.8606277296141115,0.01183230531996916,False,False
2021-06-10,36675.72,92079.0,508.65,7782000.0,1754414000.0,0.0003,3377063621.88,1622649621.88,1622649621.88,1622649621.88,3958314300.0,0.891757870600396,0.01183230531996916,False,False
2021-06-11,37331.98,92079.0,516.44,7782000.0,1754414000.0,0.0003,3437491386.42,1683077386.42,1683077386.42,1683077386.42,4018936080.0000005,0.8703933154992901,0.01183230531996916,False,False
2021-06-12,35546.11,92079.0,516.44,7782000.0,1754414000.0,0.0003,3273050262.69,1518636262.69,1518636262.69,1518636262.69,4018936080.0000005,0.9732044743481107,0.01183230531996916,False,False
2021-06-13,39020.57,92079.0,516.44,7782000.0,1754414000.0,0.0003,3592975065.03,1838561065.0300002,1838561065.0300002,1838561065.0300002,4018936080.0000005,0.7820339750857268,0.01183230531996916,False,False
2021-06-14,40516.29,92079.0,598.49,7782000.0,1754414000.0,0.0003,3730699466.91,1976285466.9099998,1976285466.9099998,1976285466.9099998,4657449180.0,0.8572488560498723,0.01183230531996916,False,False
2021-06-15,40144.04,92079.0,630.54,7782000.0,1754414000.0,0.0003,3696423059.16,1942009059.1599998,1942009059.1599998,1942009059.1599998,4906862280.0,0.9269116559665641,0.01183230531996916,False,False
2021-06-16,38349.01,92079.0,619.82,7782000.0,1754414000.0,0.0004,3531138491.79,1776724491.79,1776724491.79,1776724491.79,4823439240.0,0.9987157129332221,0.01183230531996916,False,False
2021-06-17,38092.97,92079.0,630.81,7782000.0,1754414000.0,0.0004,3507562584.63,1753148584.63,1753148584.63,1753148584.63,4908963420.0,1.029649440881865,0.01183230531996916,False,False
2021-06-18,35819.84,92079.0,646.46,7782000.0,1754414000.0,0.0005,3298255047.3599997,1543841047.3599997,1543841047.3599997,1543841047.3599997,5030751720.0,1.1812959225596367,0.01183230531996916,False,False
2021-06-19,35483.72,105085.0,646.46,7782000.0,1754414000.0,0.0005,3728806716.2000003,1974392716.2000003,1974392716.2000003,1974392716.2000003,5030751720.0,0.9353085546602321,0.013503598046774609,False,False
